TOWNSHIPID;TOWN_NAME_DESC
207;AMOROSA EXT.36
208;AMOROSA EXT.37
209;AMOROSA EXT.40
210;AMOROSA EXT.43
211;AMOROSA EXT.45
212;AMOROSA EXT.46
213;AMOROSA EXT.51
214;AMOROSA EXT.54
215;AMOROSA EXT.55
216;AMOROSA A.H.
217;ANCHORVILLE
218;ANCHORVILLE EXT.8
219;ANCHORVILLE EXT.9
220;ANCHORVILLE EXT.12
221;ANCHORVILLE EXT.13
222;ARENA
223;ARMADALE
224;ASPEN 684-IR
225;ASPEN HILLS
226;ASPEN HILLS EXT.1
227;ASPEN HILLS EXT.2
228;ASPEN HILLS EXT.5
229;ASPEN HILLS EXT.6
230;ASPEN HILLS EXT.8
231;ASPEN LAKES EXT.1
232;ASPEN LAKES EXT.2
233;ASPEN LAKES EXT.3
234;ASPEN LAKES EXT.4
235;ASPEN LAKES EXT.5
236;ASPEN LAKES EXT.7
237;ASPEN LAKES EXT.12
238;ASPEN LAKES EXT.13
239;ATHOLHURST
240;ATHOLHURST EXT.1
241;ATHOLL
242;ATHOLL EXT.1
243;ATHOLL EXT.3
244;ATHOLL EXT.4
245;ATHOLL EXT.5
246;ATHOLL EXT.6
247;ATHOLL EXT.7
248;ATHOLL EXT.9
249;ATHOLL EXT.11
250;ATHOLL EXT.12
251;ATHOLL EXT.13
252;ATHOLL EXT.19
253;ATHOLL EXT.20
254;ATHOLL EXT.21
255;ATHOLL GARDENS
256;AUCKLAND PARK
257;AUCKLAND PARK EXT.2
258;AUCKLAND PARK EXT.3
259;AUSTIN VIEW A.H.
260;AUSTIN VIEW A.H. EXT.1
261;BAGLEYSTON
262;BALLINDEAN A.H.
263;BANFIELD 103-IR
264;BARAGWANATH
265;BARAGWANATH EXT.1
266;BARAGWANATH EXT.2
267;BARAGWANATH EXT.3
268;BARAGWANATH EXT.5
269;BARBEQUE A.H.
270;BARBEQUE DOWNS
271;BARBEQUE DOWNS EXT.1
272;BARBEQUE DOWNS EXT.5
273;BARBEQUE DOWNS EXT.7
274;BARBEQUE DOWNS EXT.9
275;BARBEQUE DOWNS EXT.13
276;BARBEQUE DOWNS EXT.14
277;BARBEQUE DOWNS EXT.15
278;BARBEQUE DOWNS EXT.16
279;BARBEQUE DOWNS EXT.17
280;BARBEQUE DOWNS EXT.19
281;BARBEQUE DOWNS EXT.21
282;BARBEQUE DOWNS EXT.22
283;BARBEQUE DOWNS EXT.24
284;BARBEQUE DOWNS EXT.25
285;BARBEQUE DOWNS EXT.27
286;BARBEQUE DOWNS EXT.28
287;BARBEQUE DOWNS EXT.29
288;BARBEQUE DOWNS EXT.32
289;BARBEQUE DOWNS EXT.33
290;BARBEQUE DOWNS EXT.35
291;BARBEQUE DOWNS EXT.36
292;BARBEQUE DOWNS EXT.37
293;BARBEQUE DOWNS EXT.38
294;BARBEQUE DOWNS EXT.42
295;BARBEQUE DOWNS EXT.43
296;BARBEQUE DOWNS EXT.44
297;BARBEQUE DOWNS EXT.45
298;BARBEQUE DOWNS EXT.46
299;BARBEQUE DOWNS EXT.47
300;BARBEQUE DOWNS EXT.48
301;BARBEQUE DOWNS EXT.49
302;BARBEQUE DOWNS EXT.54
303;BARBEQUE DOWNS EXT.56
304;BARBEQUE DOWNS EXT.57
305;BARBEQUE DOWNS EXT.59
306;BARBEQUE DOWNS EXT.60
307;BARBEQUE DOWNS EXT.61
308;BARLOW PARK
309;BASSONIA
310;BASSONIA EXT.1
311;BASSONIA EXT.7
312;BATAVIA
313;BEAULIEU
314;BEDFORD 68-IR
315;BELLAIRSPARK
316;BELLAIRSPARK EXT.2
317;BELLAIRSPARK EXT.4
318;BELLAIRSPARK EXT.5
319;BELLAIRSPARK EXT.6
320;BELLAIRSPARK EXT.7
321;BELLAIRSPARK EXT.8
322;BELLAIRSPARK EXT.9
323;BELLAVISTA ESTATE
324;BELLE-VUE
325;BELLEVUE EAST
326;BENMORE GARDENS
327;BENMORE GARDENS EXT.1
328;BENMORE GARDENS EXT.2
329;BENMORE GARDENS EXT.3
330;BENMORE GARDENS EXT.6
331;BENROSE
332;BENROSE EXT.1
333;BENROSE EXT.2
334;BENROSE EXT.3
335;BENROSE EXT.4
336;BENROSE EXT.5
337;BENROSE EXT.6
338;BENROSE EXT.7
339;BENROSE EXT.8
340;BENROSE EXT.9
341;BENROSE EXT.10
342;BENROSE EXT.11
343;BENROSE EXT.13
344;BENROSE EXT.14
345;BENROSE EXT.18
346;BERARIO
347;BEREA
348;BERGBRON
349;BERGBRON EXT.1
350;BERGBRON EXT.2
351;BERGBRON EXT.3
352;BERGBRON EXT.4
353;BERGBRON EXT.6
354;BERGBRON EXT.8
355;BERGBRON EXT.9
356;BERGBRON EXT.10
357;BERGBRON EXT.11
358;BERGBRON EXT.12
359;BERGBRON EXT.14
360;BERGVALEI 37-IR
361;BERTRAMS
362;BEVERLEY EXT.1
363;BEVERLEY EXT.3
364;BEVERLEY EXT.4
365;BEVERLEY EXT.6
366;BEVERLEY EXT.7
367;BEVERLEY EXT.8
368;BEVERLEY EXT.10
369;BEVERLEY EXT.13
370;BEVERLEY EXT.15
371;BEVERLEY EXT.17
372;BEVERLEY EXT.18
373;BEVERLEY EXT.19
374;BEVERLEY EXT.20
375;BEVERLEY EXT.21
376;BEVERLEY EXT.22
377;BEVERLEY EXT.24
378;BEVERLEY EXT.25
379;BEVERLEY EXT.27
380;BEVERLEY EXT.28
381;BEVERLEY EXT.31
382;BEVERLEY EXT.37
383;BEVERLEY EXT.39
384;BEVERLEY EXT.40
385;BEVERLEY EXT.41
386;BEVERLEY EXT.42
387;BEVERLEY EXT.43
388;BEVERLEY EXT.44
389;BEVERLEY EXT.46
390;BEVERLEY EXT.47
391;BEVERLEY EXT.48
392;BEVERLEY EXT.49
393;BEVERLEY EXT.50
394;BEVERLEY EXT.51
395;BEVERLEY EXT.56
396;BEVERLEY EXT.58
397;BEVERLEY EXT.59
398;BEVERLEY EXT.60
399;BEVERLEY EXT.63
400;BEVERLEY EXT.64
401;BEVERLEY EXT.65
402;BEVERLEY EXT.67
403;BEVERLEY EXT.68
404;BEVERLEY EXT.69
405;BEVERLEY EXT.70
406;BEVERLEY EXT.71
407;BEVERLEY EXT.73
408;BEVERLEY EXT.78
409;BEVERLEY EXT.83
410;BEVERLEY EXT.85
411;BEVERLEY EXT.86
412;BEVERLEY EXT.89
413;BEVERLEY EXT.93
414;BEVERLEY EXT.94
415;BEVERLEY EXT.96
416;BEVERLEY EXT.100
417;BEVERLEY A.H.
418;BEVERLEY A.H. EXT.1
419;BEVERLEY A.H. EXT.2
420;BEVERLEY GARDENS
421;BEZUIDENHOUT VALLEY
422;BIRDHAVEN
423;BIRKENRUTH 95-IR
424;BIRNAM
425;BLACKHEATH
426;BLACKHEATH EXT.1
427;BLACKHEATH EXT.2
428;BLACKHEATH EXT.3
429;BLACKHEATH EXT.6
430;BLACKHEATH EXT.7
431;BLACKHEATH EXT.8
432;BLAIRGOWRIE
433;BLANDFORD RIDGE A.H.
434;BLOUBOSRAND EXT.2
435;BLOUBOSRAND EXT.3
436;BLOUBOSRAND EXT.9
437;BLOUBOSRAND EXT.10
438;BLOUBOSRAND EXT.11
439;BLOUBOSRAND EXT.12
440;BLOUBOSRAND EXT.13
441;BLOUBOSRAND EXT.15
442;BLOUBOSRAND EXT.16
443;BLOUBOSRAND EXT.17
444;BLOUBOSRAND EXT.18
445;BLOUBOSRAND EXT.20
446;BLOUBOSRAND EXT.21
447;BLUE HEAVEN
448;BLUE HILLS EXT.1
449;BLUE HILLS EXT.8
450;BLUE HILLS EXT.9
451;BLUE HILLS EXT.11
452;BLUE HILLS EXT.12
453;BLUE HILLS EXT.15
454;BLUE HILLS EXT.19
455;BLUE HILLS EXT.21
456;BLUE HILLS EXT.22
457;BLUE HILLS EXT.24
458;BLUE HILLS EXT.32
459;BLUE HILLS EXT.44
460;BLUE HILLS EXT.53
461;BLUE HILLS EXT.71
462;BLUE HILLS EXT.80
463;BLUE HILLS EXT.82
464;BLUE HILLS EXT.84
465;BLUE HILLS EXT.85
466;BLUE HILLS EXT.89
467;BLUE HILLS EXT.93
468;BLUE HILLS EXT.105
469;BLUE HILLS EXT.109
470;BLUE HILLS EXT.110
471;BLUE HILLS 397-JR
472;BLUE HILLS A.H.
473;BOOYSEN ESTATE 98-IR
474;BOOYSENS
475;BOOYSENS RESERVE
476;BOOYSENS RESERVE EXT.1
477;BORDEAUX
478;BORDEAUX EXT.2
479;BOSCHKOP 199-IQ
480;BOSKRUIN
481;BOSKRUIN EXT.1
482;BOSKRUIN EXT.2
483;BOSKRUIN EXT.3
484;BOSKRUIN EXT.4
485;BOSKRUIN EXT.5
486;BOSKRUIN EXT.7
487;BOSKRUIN EXT.8
488;BOSKRUIN EXT.9
489;BOSKRUIN EXT.10
490;BOSKRUIN EXT.12
491;BOSKRUIN EXT.13
492;BOSKRUIN EXT.14
493;BOSKRUIN EXT.16
494;BOSKRUIN EXT.18
495;BOSKRUIN EXT.19
496;BOSKRUIN EXT.20
497;BOSKRUIN EXT.21
498;BOSKRUIN EXT.22
499;BOSKRUIN EXT.23
500;BOSKRUIN EXT.24
501;BOSKRUIN EXT.25
502;BOSKRUIN EXT.26
503;BOSKRUIN EXT.27
504;BOSKRUIN EXT.28
505;BOSKRUIN EXT.30
506;BOSKRUIN EXT.31
507;BOSKRUIN EXT.33
